ds,y
11/30/18,8
12/30/18,3
1/30/19,10
2/28/19,2
3/30/19,13
4/30/19,6
5/30/19,3
6/30/19,6
7/30/19,5
8/30/19,7
9/30/19,2
10/30/19,5
11/30/19,7
12/30/19,2
1/30/20,11
2/28/20,4
3/30/20,9
4/30/20,0
5/30/20,2
6/30/20,14
7/30/20,13
8/30/20,11
9/30/20,11
10/30/20,10
11/30/20,10
12/30/20,11
1/30/21,3
2/28/21,15
3/30/21,15
4/30/21,10
5/30/21,12
6/30/21,10
7/30/21,13
8/30/21,22
9/30/21,13
10/30/21,14
11/30/21,17
12/30/21,16
1/20/22,6
2/20/22,14
3/20/22,15
4/20/22,19
5/20/22,7
6/20/22,12
7/20/22,7
8/20/22,8
9/20/22,9
10/20/22,8
11/20/22,15
12/20/22,17
1/20/23,6
2/20/23,12
3/20/23,16
4/20/23,8
5/20/23,13
6/20/23,14
7/20/23,10
8/20/23,10
9/20/23,10
10/20/23,13